Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0411-AMERICAN STERLING HVAC,2020-07-01 00:00:00,2,110,I3465_VALS,3,1622.972,14.75429091,1,14.75429091,110
0411-AMERICAN STERLING HVAC,2020-07-11 00:00:00,1,100,I3465_VALS,6,5933.574,59.33574,1,59.33574,100
0411-AMERICAN STERLING HVAC,2020-07-12 00:00:00,11,1180,I3465_VALS,16,10715.85232,9.08123078,1,9.08123078,1180
0411-AMERICAN STERLING HVAC,2020-07-17 00:00:00,7,400,I3465_VALS,8,6790.993366,16.97748342,1,16.97748342,400
0411-AMERICAN STERLING HVAC,2020-07-24 00:00:00,4,330,I3465_VALS,1,689.512,2.089430303,1,2.089430303,330
0411-AMERICAN STERLING HVAC,2020-07-31 00:00:00,3,220,I3465_VALS,3,2482.381,11.28355,1,11.28355,220
0411-AMERICAN STERLING HVAC,2020-08-08 00:00:00,2,120,I3465_VALS,6,2909.57671,24.24647258,1,24.24647258,120
0411-AMERICAN STERLING HVAC,2020-08-18 00:00:00,8,390,I3465_VALS,10,3552.208,9.108225641,1,9.108225641,390
0411-AMERICAN STERLING HVAC,2020-08-24 00:00:00,2,260,I3465_VALS,4,3508.96845,13.4960325,1,13.4960325,260
0411-AMERICAN STERLING HVAC,2020-09-04 00:00:00,5,390,I3465_VALS,16,8260.47928,21.1807161,1,21.1807161,390
0411-AMERICAN STERLING HVAC,2020-09-20 00:00:00,2,250,I3465_VALS,4,4158.54224,16.63416896,1,16.63416896,250
0411-AMERICAN STERLING HVAC,2020-10-08 00:00:00,5,380,I3465_VALS,8,3590.708,9.449231579,1,9.449231579,380
0486-DORIAN GRAY LOW GLOSS,2020-01-10 00:00:00,14,2131,U0486_AKZO,12,12240.506,5.744019709,1,5.744019709,2131
0486-DORIAN GRAY LOW GLOSS,2020-01-12 00:00:00,10,1324.75,U0486_AKZO,13,12683.55236,9.574298819,1,9.574298819,1324.75
0486-DORIAN GRAY LOW GLOSS,2020-01-13 00:00:00,20,3168,U0486_AKZO,28,29195.34081,9.215701012,1,9.215701012,3168
0486-DORIAN GRAY LOW GLOSS,2020-01-14 00:00:00,2,189.25,U0486_AKZO,,,,1,145.0529426,189.25
0486-DORIAN GRAY LOW GLOSS,2020-01-19 00:00:00,1,189.25,U0486_AKZO,6,5667.23672,29.94576867,1,29.94576867,189.25
0486-DORIAN GRAY LOW GLOSS,2020-01-20 00:00:00,13,2111,U0486_AKZO,18,17659.53945,8.365485291,1,8.365485291,2111
0486-DORIAN GRAY LOW GLOSS,2020-01-21 00:00:00,10,1154.14,U0486_AKZO,11,11342.86211,9.827977637,1,9.827977637,1154.14
0486-DORIAN GRAY LOW GLOSS,2020-01-22 00:00:00,3,449.25,U0486_AKZO,2,2413.248944,5.371728311,1,5.371728311,449.25
0486-DORIAN GRAY LOW GLOSS,2020-01-29 00:00:00,13,1553.25,U0486_AKZO,12,13404.67745,8.630083665,1,8.630083665,1553.25
0486-DORIAN GRAY LOW GLOSS,2020-02-05 00:00:00,2,258.5,U0486_AKZO,4,3818.55836,14.77198592,1,14.77198592,258.5
0486-DORIAN GRAY LOW GLOSS,2020-02-06 00:00:00,3,378.5,U0486_AKZO,4,5186.446878,13.70263376,1,13.70263376,378.5
0486-DORIAN GRAY LOW GLOSS,2020-02-07 00:00:00,17,2671.505,U0486_AKZO,16,19425.13169,7.271231643,1,7.271231643,2671.505
0486-DORIAN GRAY LOW GLOSS,2020-02-09 00:00:00,4,609.295,U0486_AKZO,6,5689.341,9.337580318,1,9.337580318,609.295
0486-DORIAN GRAY LOW GLOSS,2020-02-10 00:00:00,2,320,U0486_AKZO,2,1908.378,5.96368125,1,5.96368125,320
0486-DORIAN GRAY LOW GLOSS,2020-02-16 00:00:00,5,876.25,U0486_AKZO,12,14097.70067,16.08867408,1,16.08867408,876.25
0486-DORIAN GRAY LOW GLOSS,2020-02-17 00:00:00,13,1991.75,U0486_AKZO,9,12796.22917,6.424616127,1,6.424616127,1991.75
0486-DORIAN GRAY LOW GLOSS,2020-02-20 00:00:00,15,2460.25,U0486_AKZO,24,31124.31308,12.65087413,1,12.65087413,2460.25
0486-DORIAN GRAY LOW GLOSS,2020-02-21 00:00:00,3,392.75,U0486_AKZO,,,,1,66.59626292,392.75
0486-DORIAN GRAY LOW GLOSS,2020-02-22 00:00:00,8,1324.75,U0486_AKZO,23,22351.29514,16.8720854,1,16.8720854,1324.75
0486-DORIAN GRAY LOW GLOSS,2020-02-23 00:00:00,2,248.5,U0486_AKZO,,,,1,73.07276425,248.5
0486-DORIAN GRAY LOW GLOSS,2020-02-25 00:00:00,4,682,U0486_AKZO,14,14405.15222,21.12192408,1,21.12192408,682
0486-DORIAN GRAY LOW GLOSS,2020-02-26 00:00:00,17,2116.75,U0486_AKZO,20,21229.96163,10.02950827,1,10.02950827,2116.75
0486-DORIAN GRAY LOW GLOSS,2020-02-27 00:00:00,3,238.5,U0486_AKZO,,,,1,78.9850059,238.5
0486-DORIAN GRAY LOW GLOSS,2020-02-28 00:00:00,21,3138,U0486_AKZO,26,26038.08219,8.297668001,1,8.297668001,3138
0486-DORIAN GRAY LOW GLOSS,2020-02-29 00:00:00,2,268.5,U0486_AKZO,,,,1,88.67842953,268.5
0486-DORIAN GRAY LOW GLOSS,2020-03-04 00:00:00,7,912,U0486_AKZO,12,11773.61487,12.90966543,1,12.90966543,912
0486-DORIAN GRAY LOW GLOSS,2020-03-08 00:00:00,2,189.25,U0486_AKZO,5,4991.286,26.37403435,1,26.37403435,189.25
0486-DORIAN GRAY LOW GLOSS,2020-03-09 00:00:00,8,967.75,U0486_AKZO,5,5751.35254,5.943014766,1,5.943014766,967.75
0486-DORIAN GRAY LOW GLOSS,2020-03-10 00:00:00,3,567.75,U0486_AKZO,8,12570.3809,22.14069731,1,22.14069731,567.75
0486-DORIAN GRAY LOW GLOSS,2020-03-11 00:00:00,9,1444,U0486_AKZO,13,14786.45835,10.23992961,1,10.23992961,1444
0486-DORIAN GRAY LOW GLOSS,2020-03-12 00:00:00,6,1135.5,U0486_AKZO,5,7218.305691,6.356940282,1,6.356940282,1135.5
0486-DORIAN GRAY LOW GLOSS,2020-03-13 00:00:00,17,2375.25,U0486_AKZO,19,24596.02588,10.35513141,1,10.35513141,2375.25
0486-DORIAN GRAY LOW GLOSS,2020-03-14 00:00:00,1,84.25,U0486_AKZO,1,997.149,11.83559644,1,11.83559644,84.25
0486-DORIAN GRAY LOW GLOSS,2020-03-16 00:00:00,6,1089.9,U0486_AKZO,13,12550.4696,11.51524874,1,11.51524874,1089.9
0486-DORIAN GRAY LOW GLOSS,2020-03-17 00:00:00,4,717,U0486_AKZO,10,9829.14357,13.70870791,1,13.70870791,717
0486-DORIAN GRAY LOW GLOSS,2020-03-19 00:00:00,16,2565.25,U0486_AKZO,17,16329.10556,6.365502606,1,6.365502606,2565.25
0486-DORIAN GRAY LOW GLOSS,2020-03-20 00:00:00,1,189.25,U0486_AKZO,,,,1,79.91775002,189.25
0486-DORIAN GRAY LOW GLOSS,2020-03-22 00:00:00,15,2390.25,U0486_AKZO,24,24831.89658,10.38882819,1,10.38882819,2390.25
0486-DORIAN GRAY LOW GLOSS,2020-03-31 00:00:00,3,567.75,U0486_AKZO,5,4475.213529,7.88236641,1,7.88236641,567.75
0486-DORIAN GRAY LOW GLOSS,2020-04-02 00:00:00,,,,1,771.732,,1,2.286810721,799.78
0486-DORIAN GRAY LOW GLOSS,2020-04-03 00:00:00,9,1285.5,U0486_AKZO,3,5269.306677,4.09903281,1,4.09903281,1285.5
0486-DORIAN GRAY LOW GLOSS,2020-04-09 00:00:00,8,1174.75,U0486_AKZO,14,16080.14812,13.68814481,1,13.68814481,1174.75
0486-DORIAN GRAY LOW GLOSS,2020-04-10 00:00:00,4,567.75,U0486_AKZO,8,9231.675,16.26010568,1,16.26010568,567.75
0486-DORIAN GRAY LOW GLOSS,2020-04-11 00:00:00,12,2081.75,U0486_AKZO,20,21900.89266,10.520424,1,10.520424,2081.75
0486-DORIAN GRAY LOW GLOSS,2020-04-12 00:00:00,3,497.75,U0486_AKZO,1,1147.552,2.305478654,1,2.305478654,497.75
0486-DORIAN GRAY LOW GLOSS,2020-04-13 00:00:00,6,687.75,U0486_AKZO,1,983.871,1.430564885,1,1.430564885,687.75
0486-DORIAN GRAY LOW GLOSS,2020-04-15 00:00:00,1,150,U0486_AKZO,,,,1,5.128575115,150
0486-DORIAN GRAY LOW GLOSS,2020-04-16 00:00:00,8,1324.75,U0486_AKZO,19,22405.09834,16.91269925,1,16.91269925,1324.75
