Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0486-DORIAN GRAY LOW GLOSS,2020-12-14 00:00:00,3,507.75,U0486_AKZO,5,6292.929339,12.39375547,1,12.39375547,507.75
0486-DORIAN GRAY LOW GLOSS,2021-01-11 00:00:00,1,49.25,U0486_AKZO,,,,1,115.3814595,49.25
0486-DORIAN GRAY LOW GLOSS,2021-01-12 00:00:00,4,577.75,U0486_AKZO,3,2963.46982,5.129328983,1,5.129328983,577.75
0486-DORIAN GRAY LOW GLOSS,2021-01-22 00:00:00,5,669.94,U0486_AKZO,3,3754.370522,5.604039947,1,5.604039947,669.94
0486-DORIAN GRAY LOW GLOSS,2021-01-23 00:00:00,3,358.5,U0486_AKZO,3,3531.586,9.851006974,1,9.851006974,358.5
0486-DORIAN GRAY LOW GLOSS,2021-01-29 00:00:00,6,967,U0486_AKZO,16,19852.16536,20.5296436,1,20.5296436,967
0486-DORIAN GRAY LOW GLOSS,2021-01-30 00:00:00,3,487.75,U0486_AKZO,2,2090.384573,4.285770524,1,4.285770524,487.75
0486-DORIAN GRAY LOW GLOSS,2021-02-08 00:00:00,7,1026.25,U0486_AKZO,4,4714.178,4.593596102,1,4.593596102,1026.25
0486-DORIAN GRAY LOW GLOSS,2021-02-19 00:00:00,10,1623.25,U0486_AKZO,9,12325.90108,7.593347345,1,7.593347345,1623.25
0486-DORIAN GRAY LOW GLOSS,2021-02-23 00:00:00,6,1026.25,U0486_AKZO,9,9888.333,9.635403654,1,9.635403654,1026.25
0486-DORIAN GRAY LOW GLOSS,2021-02-24 00:00:00,6,1055.5,U0486_AKZO,11,14990.62388,14.20239117,1,14.20239117,1055.5
0486-DORIAN GRAY LOW GLOSS,2021-02-27 00:00:00,10,1594,U0486_AKZO,13,20889.76625,13.10524859,1,13.10524859,1594
0486-DORIAN GRAY LOW GLOSS,2021-02-28 00:00:00,1,69.25,U0486_AKZO,,,,1,288.5520257,69.25
0486-DORIAN GRAY LOW GLOSS,2021-03-02 00:00:00,7,1006.25,U0486_AKZO,13,14799.13399,14.7072139,1,14.7072139,1006.25
0486-DORIAN GRAY LOW GLOSS,2021-03-07 00:00:00,2,378.5,U0486_AKZO,3,3462.638,9.148317041,1,9.148317041,378.5
0486-DORIAN GRAY LOW GLOSS,2021-03-08 00:00:00,14,2281,U0486_AKZO,15,21129.23196,9.263144217,1,9.263144217,2281
0486-DORIAN GRAY LOW GLOSS,2021-03-10 00:00:00,4,447.75,U0486_AKZO,9,11005.87608,24.58040443,1,24.58040443,447.75
0486-DORIAN GRAY LOW GLOSS,2021-03-11 00:00:00,7,926.25,U0486_AKZO,3,4401.611693,4.752077401,1,4.752077401,926.25
0486-DORIAN GRAY LOW GLOSS,2021-03-17 00:00:00,4,757,U0486_AKZO,5,8016.218236,10.58945606,1,10.58945606,757
0486-DORIAN GRAY LOW GLOSS,2021-03-18 00:00:00,14,2510.25,U0486_AKZO,23,26684.35879,10.63015986,1,10.63015986,2510.25
0486-DORIAN GRAY LOW GLOSS,2021-03-25 00:00:00,9,1433.25,U0486_AKZO,4,6149.518203,4.290610991,1,4.290610991,1433.25
0486-DORIAN GRAY LOW GLOSS,2021-04-05 00:00:00,4,657,U0486_AKZO,6,9027.058074,13.73981442,1,13.73981442,657
0486-DORIAN GRAY LOW GLOSS,2021-04-06 00:00:00,9,1284.75,U0486_AKZO,18,22066.2591,17.17552761,1,17.17552761,1284.75
0486-DORIAN GRAY LOW GLOSS,2021-04-10 00:00:00,17,2874.36,U0486_AKZO,14,19446.94352,6.765660364,1,6.765660364,2874.36
0486-DORIAN GRAY LOW GLOSS,2021-04-13 00:00:00,2,209.25,U0486_AKZO,,,,1,86.17074835,209.25
0486-DORIAN GRAY LOW GLOSS,2021-04-22 00:00:00,6,1135.5,U0486_AKZO,14,23093.38496,20.33763537,1,20.33763537,1135.5
0486-DORIAN GRAY LOW GLOSS,2021-04-23 00:00:00,20,3367.25,U0486_AKZO,31,45552.93571,13.52823096,1,13.52823096,3367.25
0486-DORIAN GRAY LOW GLOSS,2021-04-24 00:00:00,2,248.5,U0486_AKZO,1,1181.072,4.752804829,1,4.752804829,248.5
0486-DORIAN GRAY LOW GLOSS,2021-04-26 00:00:00,1,135,U0486_BECK,,,,1,3.995876653,135
0486-DORIAN GRAY LOW GLOSS,2021-04-27 00:00:00,3,567.75,U0486_AKZO,10,12340.15155,21.73518547,1,21.73518547,567.75
0486-DORIAN GRAY LOW GLOSS,2021-04-28 00:00:00,9,1454.75,U0486_AKZO,17,20675.29189,14.21226458,1,14.21226458,1454.75
0486-DORIAN GRAY LOW GLOSS,2021-05-07 00:00:00,3,567.75,U0486_AKZO,2,2756.447268,4.85503702,1,4.85503702,567.75
0486-DORIAN GRAY LOW GLOSS,2021-05-08 00:00:00,18,3231.5,U0486_AKZO,21,25459.23292,7.878456728,1,7.878456728,3231.5
0486-DORIAN GRAY LOW GLOSS,2021-05-09 00:00:00,6,922,U0486_AKZO,5,5640.45,6.117624729,1,6.117624729,922
0486-DORIAN GRAY LOW GLOSS,2021-05-11 00:00:00,4,612.75,U0486_AKZO,9,11114.21633,18.13825594,1,18.13825594,612.75
0486-DORIAN GRAY LOW GLOSS,2021-05-12 00:00:00,5,772,U0486_AKZO,5,6191.170366,8.019650733,1,8.019650733,772
0486-DORIAN GRAY LOW GLOSS,2021-05-14 00:00:00,3,567.75,U0486_AKZO,2,3156.086304,5.558936687,1,5.558936687,567.75
0486-DORIAN GRAY LOW GLOSS,2021-05-15 00:00:00,4,635.04,U0486_AKZO,3,3816.082131,6.009199626,1,6.009199626,635.04
0486-DORIAN GRAY LOW GLOSS,2021-05-16 00:00:00,7,1214.75,U0486_AKZO,12,14225.71275,11.71081519,1,11.71081519,1214.75
0486-DORIAN GRAY LOW GLOSS,2021-05-17 00:00:00,6,926.25,U0486_AKZO,5,5530.817,5.971192443,1,5.971192443,926.25
0486-DORIAN GRAY LOW GLOSS,2021-05-24 00:00:00,4,757,U0486_AKZO,7,10696.86721,14.13060398,1,14.13060398,757
0486-DORIAN GRAY LOW GLOSS,2021-05-25 00:00:00,1,189.25,U0486_AKZO,,,,1,42.39181193,189.25
0486-DORIAN GRAY LOW GLOSS,2021-06-02 00:00:00,,,,3,3457.275,,1,0,1317.971875
0486-DORIAN GRAY LOW GLOSS,2021-06-03 00:00:00,13,2211.75,U0486_AKZO,14,15989.75119,7.229456851,1,7.229456851,2211.75
0486-DORIAN GRAY LOW GLOSS,2021-06-05 00:00:00,12,1703.25,U0486_AKZO,8,11800.93831,6.92848279,1,6.92848279,1703.25
0486-DORIAN GRAY LOW GLOSS,2021-06-10 00:00:00,1,99.25,U0486_AKZO,,,,1,111.9726589,99.25
0486-DORIAN GRAY LOW GLOSS,2021-06-11 00:00:00,11,1902.5,U0486_AKZO,18,21347.8158,11.22092815,1,11.22092815,1902.5
0486-DORIAN GRAY LOW GLOSS,2021-06-18 00:00:00,2,378.5,U0486_AKZO,3,3477.17932,9.186735324,1,9.186735324,378.5
0486-DORIAN GRAY LOW GLOSS,2021-06-19 00:00:00,6,1000.5,U0486_AKZO,3,3225.55,3.223938031,1,3.223938031,1000.5
0486-DORIAN GRAY LOW GLOSS,2021-06-20 00:00:00,9,1499.8,U0486_AKZO,8,8631.677291,5.75521889,1,5.75521889,1499.8
0486-DORIAN GRAY LOW GLOSS,2021-06-21 00:00:00,7,1126.25,U0486_AKZO,14,15804.83003,14.03314542,1,14.03314542,1126.25
0486-DORIAN GRAY LOW GLOSS,2021-06-22 00:00:00,8,1514,U0486_AKZO,16,19578.06531,12.93135093,1,12.93135093,1514
0486-DORIAN GRAY LOW GLOSS,2021-06-26 00:00:00,11,1892.5,U0486_AKZO,12,13778.04174,7.280339096,1,7.280339096,1892.5
0486-DORIAN GRAY LOW GLOSS,2021-07-01 00:00:00,2,243.5,U0486_AKZO,2,3186.840975,13.08764261,1,13.08764261,243.5
0486-DORIAN GRAY LOW GLOSS,2021-07-02 00:00:00,17,2913.75,U0486_AKZO,15,24817.37121,8.517330318,1,8.517330318,2913.75
0486-DORIAN GRAY LOW GLOSS,2021-07-08 00:00:00,6,1135.5,U0486_AKZO,9,15512.21503,13.66113168,1,13.66113168,1135.5
0486-DORIAN GRAY LOW GLOSS,2021-07-09 00:00:00,9,1514,U0486_AKZO,8,11119.42916,7.344404994,1,7.344404994,1514
0486-DORIAN GRAY LOW GLOSS,2021-07-12 00:00:00,3,567.75,U0486_AKZO,2,3113.281766,5.483543401,1,5.483543401,567.75
0486-DORIAN GRAY LOW GLOSS,2021-07-13 00:00:00,9,1384.75,U0486_AKZO,4,6406.196921,4.626248002,1,4.626248002,1384.75
0486-DORIAN GRAY LOW GLOSS,2021-07-15 00:00:00,6,1075.5,U0486_AKZO,9,11254.068,10.46403347,1,10.46403347,1075.5
0486-DORIAN GRAY LOW GLOSS,2021-07-23 00:00:00,6,985.5,U0486_AKZO,7,11408.44776,11.57630418,1,11.57630418,985.5
0486-DORIAN GRAY LOW GLOSS,2021-07-24 00:00:00,7,1285.5,U0486_AKZO,5,6923.98269,5.386217573,1,5.386217573,1285.5
0486-DORIAN GRAY LOW GLOSS,2021-07-27 00:00:00,2,378.5,U0486_AKZO,1,1712.70533,4.524981057,1,4.524981057,378.5
0486-DORIAN GRAY LOW GLOSS,2021-07-28 00:00:00,13,2191.75,U0486_AKZO,15,25552.67552,11.65857215,1,11.65857215,2191.75
0486-DORIAN GRAY LOW GLOSS,2021-07-30 00:00:00,9,1384,U0486_AKZO,4,6398.767595,4.623386991,1,4.623386991,1384
0486-DORIAN GRAY LOW GLOSS,2021-08-08 00:00:00,15,2298.01,U0486_AKZO,10,15762.25956,6.859090934,1,6.859090934,2298.01
0486-DORIAN GRAY LOW GLOSS,2021-08-09 00:00:00,5,876.25,U0486_AKZO,8,9217.059442,10.51875543,1,10.51875543,876.25
0486-DORIAN GRAY LOW GLOSS,2021-08-12 00:00:00,1,189.25,U0486_AKZO,,,,1,38.18433277,189.25
0486-DORIAN GRAY LOW GLOSS,2021-08-13 00:00:00,8,1429,U0486_AKZO,13,20129.14156,14.08617324,1,14.08617324,1429
0486-DORIAN GRAY LOW GLOSS,2021-08-14 00:00:00,17,2753.75,U0486_AKZO,15,22116.08069,8.031259441,1,8.031259441,2753.75
0486-DORIAN GRAY LOW GLOSS,2021-08-17 00:00:00,1,170,U0486_AKZO,3,4285.23277,25.20725159,1,25.20725159,170
0486-DORIAN GRAY LOW GLOSS,2021-08-18 00:00:00,22,3665.75,U0486_AKZO,21,33046.76011,9.015006509,1,9.015006509,3665.75
0486-DORIAN GRAY LOW GLOSS,2021-08-19 00:00:00,3,437.75,U0486_AKZO,3,4823.003207,11.0177115,1,11.0177115,437.75
0486-DORIAN GRAY LOW GLOSS,2021-08-23 00:00:00,4,438.545,U0486_AKZO,1,1298.265931,2.960393873,1,2.960393873,438.545
0486-DORIAN GRAY LOW GLOSS,2021-08-25 00:00:00,3,477.75,U0486_AKZO,,,,1,0.242935095,477.75
0486-DORIAN GRAY LOW GLOSS,2021-08-26 00:00:00,5,587.75,U0486_AKZO,,,,1,0,587.75
0486-DORIAN GRAY LOW GLOSS,2021-08-30 00:00:00,5,658.5,U0486_AKZO,5,5774.648218,8.769397446,1,8.769397446,658.5
0486-DORIAN GRAY LOW GLOSS,2021-08-31 00:00:00,9,1433.25,U0486_AKZO,8,9115.15996,6.35978368,1,6.35978368,1433.25
0486-DORIAN GRAY LOW GLOSS,2021-09-01 00:00:00,4,587.75,U0486_AKZO,11,16097.76671,27.38879917,1,27.38879917,587.75
0486-DORIAN GRAY LOW GLOSS,2021-09-02 00:00:00,12,1951.75,U0486_AKZO,13,20432.67218,10.46889826,1,10.46889826,1951.75
0486-DORIAN GRAY LOW GLOSS,2021-09-05 00:00:00,5,637.75,U0486_AKZO,2,2555.610428,4.007229209,1,4.007229209,637.75
0486-DORIAN GRAY LOW GLOSS,2021-09-06 00:00:00,1,129,U0486_AKZO,,,,1,15.80370434,129
0486-DORIAN GRAY LOW GLOSS,2021-09-13 00:00:00,9,1155.5,U0486_AKZO,11,12615.94911,10.91817318,1,10.91817318,1155.5
0486-DORIAN GRAY LOW GLOSS,2021-09-22 00:00:00,6,897,U0486_AKZO,9,12294.90665,13.70669638,1,13.70669638,897
0486-DORIAN GRAY LOW GLOSS,2021-09-24 00:00:00,7,1116.25,U0486_AKZO,14,17089.16613,15.30944334,1,15.30944334,1116.25
0486-DORIAN GRAY LOW GLOSS,2021-09-30 00:00:00,11,1892.5,U0486_AKZO,18,33347.69043,17.62097249,1,17.62097249,1892.5
0486-DORIAN GRAY LOW GLOSS,2021-10-01 00:00:00,2,268.5,U0486_AKZO,,,,1,106.5789919,268.5
0486-DORIAN GRAY LOW GLOSS,2021-10-04 00:00:00,15,2360.25,U0486_AKZO,15,26088.32951,11.05320602,1,11.05320602,2360.25
0486-DORIAN GRAY LOW GLOSS,2021-10-07 00:00:00,7,1269.5,U0486_AKZO,5,6274.341131,4.942371903,1,4.942371903,1269.5
0486-DORIAN GRAY LOW GLOSS,2021-10-08 00:00:00,10,1370.5,U0486_AKZO,5,6819.849072,4.976175901,1,4.976175901,1370.5
0486-DORIAN GRAY LOW GLOSS,2021-10-09 00:00:00,5,737.25,U0486_AKZO,5,6812.083059,9.239854947,1,9.239854947,737.25
0486-DORIAN GRAY LOW GLOSS,2021-10-10 00:00:00,3,478.5,U0486_AKZO,2,2343.08,4.896718913,1,4.896718913,478.5
0486-DORIAN GRAY LOW GLOSS,2021-10-11 00:00:00,2,348.5,U0486_AKZO,5,8203.964346,23.54078722,1,23.54078722,348.5
0486-DORIAN GRAY LOW GLOSS,2021-10-12 00:00:00,12,1871.75,U0486_AKZO,17,24785.53161,13.24190283,1,13.24190283,1871.75
0486-DORIAN GRAY LOW GLOSS,2021-10-13 00:00:00,5,652.75,U0486_AKZO,4,4650.43525,7.124374185,1,7.124374185,652.75
0486-DORIAN GRAY LOW GLOSS,2021-10-14 00:00:00,10,1858.25,U0486_AKZO,14,22062.64144,11.87280583,1,11.87280583,1858.25
0486-DORIAN GRAY LOW GLOSS,2021-10-17 00:00:00,4,607,U0486_AKZO,3,4305.900889,7.093741167,1,7.093741167,607
0486-DORIAN GRAY LOW GLOSS,2021-10-18 00:00:00,12,1955.45,U0486_AKZO,3,4408.813995,2.254628855,1,2.254628855,1955.45
0486-DORIAN GRAY LOW GLOSS,2021-10-19 00:00:00,12,1971.75,U0486_AKZO,16,27507.10101,13.95060277,1,13.95060277,1971.75
0486-DORIAN GRAY LOW GLOSS,2021-10-20 00:00:00,1,189.25,U0486_AKZO,,,,1,131.397355,189.25
0486-DORIAN GRAY LOW GLOSS,2021-10-21 00:00:00,5,826.25,U0486_AKZO,3,5408.069568,6.545318691,1,6.545318691,826.25
0486-DORIAN GRAY LOW GLOSS,2021-10-22 00:00:00,5,912.18,U0486_AKZO,5,6859.326336,7.519707005,1,7.519707005,912.18
0486-DORIAN GRAY LOW GLOSS,2021-10-25 00:00:00,10,1284.75,U0486_AKZO,8,8961.80906,6.975527581,1,6.975527581,1284.75
0486-DORIAN GRAY LOW GLOSS,2021-10-26 00:00:00,8,1405.5,U0486_AKZO,11,12609.22571,8.971345224,1,8.971345224,1405.5
0486-DORIAN GRAY LOW GLOSS,2021-10-27 00:00:00,1,109.25,U0486_AKZO,,,,1,106.4449084,109.25
0486-DORIAN GRAY LOW GLOSS,2021-10-29 00:00:00,9,1079.75,U0486_AKZO,9,13403.52981,12.41354926,1,12.41354926,1079.75
0486-DORIAN GRAY LOW GLOSS,2021-10-30 00:00:00,6,1002,U0486_AKZO,12,17923.15426,17.8873795,1,17.8873795,1002
0486-DORIAN GRAY LOW GLOSS,2021-11-02 00:00:00,7,996.25,U0486_AKZO,6,8851.063275,8.884379698,1,8.884379698,996.25
0486-DORIAN GRAY LOW GLOSS,2021-11-03 00:00:00,7,1165.5,U0486_AKZO,12,16450.69748,14.11471255,1,14.11471255,1165.5
0486-DORIAN GRAY LOW GLOSS,2021-11-04 00:00:00,9,1254.5,U0486_AKZO,6,6983.052171,5.566402687,1,5.566402687,1254.5
0486-DORIAN GRAY LOW GLOSS,2021-11-06 00:00:00,7,1146.25,U0486_AKZO,7,13663.08072,11.9198087,1,11.9198087,1146.25
0486-DORIAN GRAY LOW GLOSS,2021-11-07 00:00:00,8,1324.75,U0486_AKZO,6,9161.022329,6.915283886,1,6.915283886,1324.75
0486-DORIAN GRAY LOW GLOSS,2021-11-10 00:00:00,6,1015.46,U0486_AKZO,3,4493.564085,4.425151247,1,4.425151247,1015.46
0486-DORIAN GRAY LOW GLOSS,2021-11-11 00:00:00,5,946.25,U0486_AKZO,2,3319.5303,3.508090146,1,3.508090146,946.25
0486-DORIAN GRAY LOW GLOSS,2021-11-12 00:00:00,4,702,U0486_AKZO,3,6672.073641,9.504378406,1,9.504378406,702
0486-DORIAN GRAY LOW GLOSS,2021-11-17 00:00:00,,,,5,5615.65,,1,1.496939153,833.234375
0486-DORIAN GRAY LOW GLOSS,2021-11-18 00:00:00,4,622.75,U0486_AKZO,4,6080.009929,9.763163274,1,9.763163274,622.75
0486-DORIAN GRAY LOW GLOSS,2021-11-20 00:00:00,4,687,U0486_AKZO,8,11517.18774,16.76446541,1,16.76446541,687
0486-DORIAN GRAY LOW GLOSS,2021-11-21 00:00:00,5,667,U0486_AKZO,3,5551.489475,8.323072676,1,8.323072676,667
0486-DORIAN GRAY LOW GLOSS,2021-11-24 00:00:00,10,1514,U0486_AKZO,16,22086.72408,14.58832502,1,14.58832502,1514
0486-DORIAN GRAY LOW GLOSS,2021-11-25 00:00:00,1,189.25,U0486_AKZO,,,,1,102.1182751,189.25
0486-DORIAN GRAY LOW GLOSS,2021-11-27 00:00:00,6,985.5,U0486_AKZO,4,6389.103768,6.483108846,1,6.483108846,985.5
0486-DORIAN GRAY LOW GLOSS,2021-11-28 00:00:00,1,189.25,U0486_AKZO,3,3905.571077,20.63709948,1,20.63709948,189.25
0486-DORIAN GRAY LOW GLOSS,2021-11-29 00:00:00,11,1892.5,U0486_AKZO,6,11143.36531,5.888171896,1,5.888171896,1892.5
0486-DORIAN GRAY LOW GLOSS,2021-12-06 00:00:00,10,1438.25,U0486_AKZO,10,18406.88958,12.79811548,1,12.79811548,1438.25
0486-DORIAN GRAY LOW GLOSS,2021-12-10 00:00:00,5,872,U0486_AKZO,8,14590.53086,16.73226016,1,16.73226016,872
0486-DORIAN GRAY LOW GLOSS,2021-12-11 00:00:00,1,189.25,U0486_VALS,,,,1,60.36433619,189.25
0486-DORIAN GRAY LOW GLOSS,2021-12-19 00:00:00,7,1285.5,U0486_AKZO,15,20145.13673,15.67105152,1,15.67105152,1285.5
0486-DORIAN GRAY LOW GLOSS,2021-12-20 00:00:00,4,567.75,U0486_AKZO,,,,1,19.81135575,567.75
0486-DORIAN GRAY LOW GLOSS,2021-12-22 00:00:00,1,189.25,U0486_AKZO,,,,1,0,189.25
0486-DORIAN GRAY LOW GLOSS,2021-12-23 00:00:00,9,1394.75,U0486_AKZO,3,4399.563294,3.154374113,1,3.154374113,1394.75
0486-DORIAN GRAY LOW GLOSS,2021-12-26 00:00:00,5,647.75,U0486_AKZO,2,2277.778,3.51644616,1,3.51644616,647.75
0486-DORIAN GRAY LOW GLOSS,2021-12-30 00:00:00,,,,1,1108.315,,1,0.923685865,878.5146875
0486-DORIAN GRAY LOW GLOSS,2021-12-31 00:00:00,5,741.25,U0486_AKZO,8,9228.494973,12.4499089,1,12.4499089,741.25
0486-DORIAN GRAY LOW GLOSS,2022-01-06 00:00:00,5,846.25,U0486_AKZO,2,2214.868,2.617273855,1,2.617273855,846.25
0486-DORIAN GRAY LOW GLOSS,2022-01-07 00:00:00,3,567.75,U0486_AKZO,4,4351.99,7.665328049,1,7.665328049,567.75
0486-DORIAN GRAY LOW GLOSS,2022-01-08 00:00:00,13,1770.4,U0486_AKZO,11,16384.43,9.254648669,1,9.254648669,1770.4
0486-DORIAN GRAY LOW GLOSS,2022-01-09 00:00:00,7,897.75,U0486_AKZO,11,14759.34103,16.44036873,1,16.44036873,897.75
0486-DORIAN GRAY LOW GLOSS,2022-01-10 00:00:00,11,1222.51,U0486_AKZO,11,13409.78791,10.96906194,1,10.96906194,1222.51
0486-DORIAN GRAY LOW GLOSS,2022-01-11 00:00:00,10,1364,U0486_AKZO,13,16951.20511,12.42756973,1,12.42756973,1364
0486-DORIAN GRAY LOW GLOSS,2022-01-13 00:00:00,8,1275.5,U0486_AKZO,12,15874.70742,12.44587019,1,12.44587019,1275.5
0486-DORIAN GRAY LOW GLOSS,2022-01-14 00:00:00,1,80,U0486_AKZO,,,,1,185.9879726,80
0486-DORIAN GRAY LOW GLOSS,2022-01-15 00:00:00,2,378.5,U0486_AKZO,1,1054.372,2.785659181,1,2.785659181,378.5
0486-DORIAN GRAY LOW GLOSS,2022-01-16 00:00:00,5,866.25,U0486_AKZO,2,3935.84486,4.54354385,1,4.54354385,866.25
0486-DORIAN GRAY LOW GLOSS,2022-01-17 00:00:00,3,517.75,U0486_AKZO,1,2202.387527,4.253766348,1,4.253766348,517.75
0486-DORIAN GRAY LOW GLOSS,2022-01-21 00:00:00,4,628.825,U0486_AKZO,3,4170.207288,6.631745379,1,6.631745379,628.825
0486-DORIAN GRAY LOW GLOSS,2022-01-28 00:00:00,5,907,"U0486_AKZO,U0486_BECK",5,9153.962434,10.09257159,1,10.09257159,907
0486-DORIAN GRAY LOW GLOSS,2022-01-29 00:00:00,8,1254.75,U0486_AKZO,5,8369.390548,6.670165808,1,6.670165808,1254.75
0486-DORIAN GRAY LOW GLOSS,2022-01-30 00:00:00,6,737.75,U0486_AKZO,6,9546.967155,12.94065355,1,12.94065355,737.75
0486-DORIAN GRAY LOW GLOSS,2022-02-02 00:00:00,3,477.75,U0486_AKZO,6,8705.860058,18.22262702,1,18.22262702,477.75
0486-DORIAN GRAY LOW GLOSS,2022-02-04 00:00:00,3,417.75,U0486_AKZO,3,3329.4,7.96983842,1,7.96983842,417.75
0486-DORIAN GRAY LOW GLOSS,2022-02-10 00:00:00,7,907,U0486_AKZO,3,4561.032931,5.028702239,1,5.028702239,907
0486-DORIAN GRAY LOW GLOSS,2022-02-17 00:00:00,5,627,U0486_AKZO,6,10792.59759,17.21307431,1,17.21307431,627
0486-DORIAN GRAY LOW GLOSS,2022-02-21 00:00:00,6,866.25,U0486_AKZO,5,8625.415393,9.957189487,1,9.957189487,866.25
0486-DORIAN GRAY LOW GLOSS,2022-02-23 00:00:00,10,1534,U0486_AKZO,15,18940.25949,12.3469749,1,12.3469749,1534
0486-DORIAN GRAY LOW GLOSS,2022-02-27 00:00:00,4,567.75,U0486_AKZO,1,1579.299363,2.781680957,1,2.781680957,567.75
0486-DORIAN GRAY LOW GLOSS,2022-02-28 00:00:00,18,2929.5,U0486_AKZO,28,35249.84295,12.03271649,1,12.03271649,2929.5
0486-DORIAN GRAY LOW GLOSS,2022-03-04 00:00:00,2,378.5,U0486_AKZO,,,,1,81.09764798,378.5
0486-DORIAN GRAY LOW GLOSS,2022-03-09 00:00:00,5,846.25,U0486_AKZO,3,4532.446773,5.355919377,1,5.355919377,846.25
0486-DORIAN GRAY LOW GLOSS,2022-03-13 00:00:00,2,378.5,U0486_AKZO,9,13496.79592,35.65864178,1,35.65864178,378.5
0486-DORIAN GRAY LOW GLOSS,2022-03-14 00:00:00,8,1135.5,U0486_AKZO,10,14634.153,12.88784941,1,12.88784941,1135.5
0486-DORIAN GRAY LOW GLOSS,2022-03-15 00:00:00,1,189.25,U0486_AKZO,,,,1,64.43924703,189.25
0486-DORIAN GRAY LOW GLOSS,2022-03-16 00:00:00,3,427.75,U0486_AKZO,2,2957.69135,6.91453267,1,6.91453267,427.75
0486-DORIAN GRAY LOW GLOSS,2022-03-20 00:00:00,,,,3,3879.406,,1,3.796688034,948.6333333
0486-DORIAN GRAY LOW GLOSS,2022-03-21 00:00:00,6,1020.5,U0486_AKZO,5,5635.16222,5.521961999,1,5.521961999,1020.5
0486-DORIAN GRAY LOW GLOSS,2022-03-22 00:00:00,5,633.5,U0486_AKZO,6,6670.614,10.52977743,1,10.52977743,633.5
0486-DORIAN GRAY LOW GLOSS,2022-03-23 00:00:00,6,857,U0486_AKZO,3,3457.328,4.034221704,1,4.034221704,857
0486-DORIAN GRAY LOW GLOSS,2022-03-24 00:00:00,,,,2,2566.559165,,1,0.6588622,1024.284375
0486-DORIAN GRAY LOW GLOSS,2022-03-25 00:00:00,6,975.5,U0486_AKZO,7,9236.818816,9.468804527,1,9.468804527,975.5
0486-DORIAN GRAY LOW GLOSS,2022-03-26 00:00:00,5,676.25,U0486_AKZO,1,1063.476,1.572607763,1,1.572607763,676.25
0486-DORIAN GRAY LOW GLOSS,2022-03-30 00:00:00,4,447.75,U0486_AKZO,6,7434.941287,16.60511733,1,16.60511733,447.75
0486-DORIAN GRAY LOW GLOSS,2022-04-06 00:00:00,14,1993.25,U0486_AKZO,17,26196.55592,13.14263435,1,13.14263435,1993.25
0486-DORIAN GRAY LOW GLOSS,2022-04-11 00:00:00,9,1347,"U0486_AKZO,U0486_BECK",8,10156.56934,7.540140564,1,7.540140564,1347
0486-DORIAN GRAY LOW GLOSS,2022-04-17 00:00:00,7,1255.5,U0486_AKZO,10,16750.79489,13.34193142,1,13.34193142,1255.5
0486-DORIAN GRAY LOW GLOSS,2022-05-02 00:00:00,2,378.5,U0486_AKZO,6,8262.182431,21.82875147,1,21.82875147,378.5
0486-DORIAN GRAY LOW GLOSS,2022-05-06 00:00:00,3,397.75,U0486_AKZO,2,3397.725062,8.542363449,1,8.542363449,397.75
0486-DORIAN GRAY LOW GLOSS,2022-05-14 00:00:00,9,1504.75,U0486_AKZO,9,15387.86932,10.22619659,1,10.22619659,1504.75
0486-DORIAN GRAY LOW GLOSS,2022-05-15 00:00:00,4,432.75,U0486_AKZO,2,3438.075018,7.944714079,1,7.944714079,432.75
0486-DORIAN GRAY LOW GLOSS,2022-05-16 00:00:00,11,1579,U0486_AKZO,8,14258.91874,9.030347525,1,9.030347525,1579
0486-DORIAN GRAY LOW GLOSS,2022-05-17 00:00:00,4,730.5,U0486_AKZO,6,10362.28322,14.18519263,1,14.18519263,730.5
0486-DORIAN GRAY LOW GLOSS,2022-05-18 00:00:00,3,322.75,U0486_AKZO,,,,1,17.92102957,322.75
0486-DORIAN GRAY LOW GLOSS,2022-05-20 00:00:00,10,1559.75,U0486_AKZO,11,19676.8272,12.61537246,1,12.61537246,1559.75
0486-DORIAN GRAY LOW GLOSS,2022-05-21 00:00:00,10,1787.55,U0486_AKZO,5,8120.700078,4.54292192,1,4.54292192,1787.55
0486-DORIAN GRAY LOW GLOSS,2022-05-26 00:00:00,6,1000,U0486_BECK,4,7110.071045,7.110071045,1,7.110071045,1000
0486-DORIAN GRAY LOW GLOSS,2022-06-25 00:00:00,6,985.5,U0486_AKZO,7,10498.14355,10.65260635,1,10.65260635,985.5
0486-DORIAN GRAY LOW GLOSS,2022-08-22 00:00:00,9,1427.51,U0486_AKZO,10,13371.68148,9.367136817,1,9.367136817,1427.51
0486-DORIAN GRAY LOW GLOSS,2022-08-27 00:00:00,8,1344,U0486_AKZO,10,15292.08894,11.37804237,1,11.37804237,1344
0486-DORIAN GRAY LOW GLOSS,2022-09-01 00:00:00,4,757,U0486_AKZO,6,9089.856804,12.00773686,1,12.00773686,757
0486-DORIAN GRAY LOW GLOSS,2022-09-02 00:00:00,7,1324.75,U0486_AKZO,5,7507.503324,5.667109511,1,5.667109511,1324.75
