Clave pintura,Year-Week,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion
1013-DYNAPRIME 2821,2024-13,9,1028.5,U1013_VALS,5,4770.95282,4.638748488,1
1013-DYNAPRIME 2821,2024-15,12,1511.75,U1013_VALS,27,29161.191,19.28969142,1
1013-DYNAPRIME 2821,2024-16,18,2286.25,U1013_VALS,29,37012.79724,16.18930442,1
1013-DYNAPRIME 2821,2024-17,4,403,U1013_VALS,5,5816.911,14.43402233,1
1013-DYNAPRIME 2821,2024-18,3,567.75,U1013_VALS,17,22817.2653,40.18893052,1
1013-DYNAPRIME 2821,2024-20,11,1720,U1013_VALS,17,16477.098,9.57970814,1
1013-DYNAPRIME 2821,2024-21,18,2453.5,U1013_VALS,43,44171.85936,18.00361091,1
1013-DYNAPRIME 2821,2024-22,22,2317.75,U1013_VALS,34,36191.018,15.61472031,1
1013-DYNAPRIME 2821,2024-23,13,1610,U1013_VALS,23,22487.8238,13.96759242,1
1013-DYNAPRIME 2821,2024-24,14,1817.25,U1013_VALS,20,22225.77632,12.23044508,1
1013-DYNAPRIME 2821,2024-25,7,630,U1013_VALS,,,,1
1013-DYNAPRIME 2821,2024-26,4,600,U1013_VALS,18,16854.64762,28.09107937,1
1013-DYNAPRIME 2821,2024-27,7,1180,U1013_VALS,22,21116.0199,17.89493212,1
1013-DYNAPRIME 2821,2024-28,1,90,U1013_VALS,5,5425.944,60.28826667,1
1013-DYNAPRIME 2821,2024-29,6,610,U1013_VALS,9,11207.18101,18.37242789,1
1013-DYNAPRIME 2821,2024-31,5,345,U1013_VALS,,,,1
1013-DYNAPRIME 2821,2024-37,7,771,U1013_VALS,,,,1
1013-DYNAPRIME 2821,2024-38,10,1130,U1013_VALS,4,5821.164,5.151472566,1
1013-DYNAPRIME 2821,2024-39,7,730,U1013_VALS,13,11488.703,15.73794932,1
1013-DYNAPRIME 2821,2024-40,4,485,U1013_VALS,18,21140.94007,43.58956715,1
1013-DYNAPRIME 2821,2024-41,10,1030,U1013_VALS,19,19166.56695,18.60831743,1
1013-DYNAPRIME 2821,2024-42,4,550,U1013_VALS,6,7191.79542,13.07599167,1
1013-DYNAPRIME 2821,2024-43,22,2775,U1013_VALS,30,32736.56447,11.79696017,1
1013-DYNAPRIME 2821,2024-44,11,1510,U1013_VALS,1,1041.04,0.689430464,1
1013-DYNAPRIME 2821,2024-46,3,330,U1013_VALS,1,1172.08,3.551757576,1
1013-DYNAPRIME 2821,2024-47,7,700,U1013_VALS,14,13507.894,19.29699143,1
1013-DYNAPRIME 2821,2024-48,2,200,U1013_VALS,5,4516.1,22.5805,1
1013-DYNAPRIME 2821,2024-49,3,150,U1013_VALS,3,2578.558,17.19038667,1
1013-DYNAPRIME 2821,2024-52,4,395,U1013_VALS,20,23312.10324,59.01798289,1
